variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy,test_precision,test_recall
smell_lambda_layers,1,166.6212,1.3889,785.34,5.73,0.08,NA,0.005697,0.000791,3.9e-05,5e-06,0.1144,0.0,0.0
smell_lambda_layers,2,145.9806,1.4276,261.29,4.52,0.1,NA,0.005023,0.000697,4.1e-05,6e-06,0.0992,0.0,0.0
smell_lambda_layers,3,426.8064,1.4099,285.01,5.05,0.1,NA,0.015065,0.00209,4e-05,5e-06,0.7698,0.836,0.7201
smell_lambda_layers,4,455.8439,1.4377,247.51,4.58,0.1,NA,0.016099,0.002234,4e-05,6e-06,0.7705,0.8308,0.7189
smell_lambda_layers,5,458.3481,1.4865,219.79,4.8,0.1,NA,0.016193,0.002247,4.2e-05,6e-06,0.7929,0.8486,0.7504
smell_lambda_layers,6,79.8074,1.5211,234.02,5.28,0.11,NA,0.002655,0.000368,4.2e-05,6e-06,0.0953,0.0,0.0
smell_lambda_layers,7,316.2315,1.4555,236.84,4.93,0.1,NA,0.011101,0.00154,4.1e-05,6e-06,0.696,0.8048,0.5899
smell_lambda_layers,8,218.0353,1.4483,226.23,5.47,0.1,NA,0.007598,0.001054,4e-05,6e-06,0.1294,0.0,0.0
smell_lambda_layers,9,510.6115,1.4274,157.2,4.16,0.11,NA,0.018061,0.002506,4.1e-05,6e-06,0.692,0.8019,0.5899
smell_lambda_layers,10,408.8715,1.4412,179.38,4.06,0.1,NA,0.014421,0.002001,4.1e-05,6e-06,0.6928,0.8142,0.5742
