variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy,test_precision,test_recall
smell_lambda_layers,1,220.5727,1.4009,724.49,5.75,1.61,NA,0.007652,0.001672,3.9e-05,9e-06,0.8382,0.8713,0.8109
smell_lambda_layers,2,200.1502,1.4712,268.05,4.7,0.1,NA,0.006986,0.001527,4.1e-05,9e-06,0.8383,0.8743,0.8099
smell_lambda_layers,3,172.5669,1.4932,186.52,4.99,-48.12,NA,0.005997,0.001311,4.1e-05,9e-06,0.8069,0.8549,0.7664
smell_lambda_layers,4,281.7119,1.5087,188.8,4.38,0.11,NA,0.009909,0.002165,4.2e-05,9e-06,0.8353,0.8652,0.8138
smell_lambda_layers,5,173.2498,1.454,213.86,4.03,0.11,NA,0.006023,0.001316,4.1e-05,9e-06,0.8136,0.8666,0.7674
smell_lambda_layers,6,240.8678,1.4905,214.33,4.58,0.14,NA,0.008442,0.001845,4.1e-05,9e-06,0.8334,0.8673,0.8108
smell_lambda_layers,7,172.7589,1.5248,177.94,5.2,0.14,NA,0.006001,0.001311,4.2e-05,9e-06,0.8159,0.8621,0.7744
smell_lambda_layers,8,289.6562,1.5066,236.3,4.83,0.09,NA,0.010189,0.002227,4.2e-05,9e-06,0.8468,0.8753,0.8239
smell_lambda_layers,9,221.5178,1.4748,201.75,4.55,0.14,NA,0.00775,0.001694,4.1e-05,9e-06,0.8413,0.877,0.8137
smell_lambda_layers,10,269.9308,1.477,183.12,4.72,-46.5,NA,0.009487,0.002073,4.1e-05,9e-06,0.8475,0.8774,0.8258
