variant,run_id,train_time_sec,eval_time_sec,test_accuracy,test_precision,test_recall
2048_batchsize,1,82.6319,0.7046,0.1001,0.0,0.0
2048_batchsize,2,52.2713,0.709,0.1001,0.0,0.0
2048_batchsize,3,54.2981,0.7081,0.1,0.0,0.0
2048_batchsize,4,54.7393,0.7297,0.1004,0.0,0.0
2048_batchsize,5,54.5044,0.7259,0.1276,0.0,0.0
2048_batchsize,6,55.0128,0.7097,0.1007,0.0,0.0
2048_batchsize,7,55.0078,0.7862,0.1308,0.0,0.0
2048_batchsize,8,54.9437,0.7227,0.1058,0.0,0.0
2048_batchsize,9,54.6246,0.7083,0.1001,0.0,0.0
2048_batchsize,10,54.5734,0.734,0.1038,0.0,0.0
