repository_name,repository_url,file_path,line_number,code_snippet,explanation
CupCupRay/Bin2Summary,https://github.com/CupCupRay/Bin2Summary,src/seq2seq/palmtree_train.py,27,# tf.config.threading.set_intra_op_parallelism_threads(8),"COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
CupCupRay/Bin2Summary,https://github.com/CupCupRay/Bin2Summary,src/seq2seq/palmtree_train.py,28,# tf.config.threading.set_inter_op_parallelism_threads(8),"COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
CupCupRay/Bin2Summary,https://github.com/CupCupRay/Bin2Summary,src/seq2seq/asm2vec_train.py,27,# tf.config.threading.set_intra_op_parallelism_threads(8),"COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
CupCupRay/Bin2Summary,https://github.com/CupCupRay/Bin2Summary,src/seq2seq/asm2vec_train.py,28,# tf.config.threading.set_inter_op_parallelism_threads(8),"COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
CIMCB/cimcb,https://github.com/CIMCB/cimcb,cimcb/model/NN_LogitRelu.py,51,"# config = K.tf.ConfigProto(intra_op_parallelism_threads=8, inter_op_parallelism_threads=8, allow_soft_placement=True)","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
yuzhimanhua/MotifClass,https://github.com/yuzhimanhua/MotifClass,text_classification/model.py,7,"# K.set_session(K.tf.Session(config=K.tf.ConfigProto(intra_op_parallelism_threads=30, inter_op_parallelism_threads=30)))","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
nikolai-andrianov/VFM,https://github.com/nikolai-andrianov/VFM,welltest.py,233,"#session_conf = tensorflow.ConfigProto(intra_op_parallelism_threads=8, inter_op_parallelism_threads=8)","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
yuzhimanhua/MetaCat,https://github.com/yuzhimanhua/MetaCat,model.py,7,"# K.set_session(K.tf.Session(config=K.tf.ConfigProto(intra_op_parallelism_threads=30, inter_op_parallelism_threads=30)))","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
czyczyyzc/MyDeepMetric,https://github.com/czyczyyzc/MyDeepMetric,Mybase/solver.py,331,"#                              inter_op_parallelism_threads=16, intra_op_parallelism_threads=16)","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
czyczyyzc/MyDeepMetric,https://github.com/czyczyyzc/MyDeepMetric,Mybase/solver.py,465,"#                              inter_op_parallelism_threads=16, intra_op_parallelism_threads=16)","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
czyczyyzc/MyDeepMetric,https://github.com/czyczyyzc/MyDeepMetric,Mybase/solver.py,569,"#                              inter_op_parallelism_threads=16, intra_op_parallelism_threads=16)","COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
shilab/STICI,https://github.com/shilab/STICI,STICI_V1.1.py,1198,# tf.config.threading.set_inter_op_parallelism_threads(num_threads=4)  # Number of threads for multiple operations,"COMMENTED - Bad Code Hygiene: Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
