repository_name,repository_url,file_path,line_number,code_snippet,explanation
horovod/horovod,https://github.com/horovod/horovod,examples/spark/keras/keras_spark3_rossmann.py,564,".setExecutorEnv('LD_LIBRARY_PATH', os.environ.get('LD_LIBRARY_PATH')) \",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
de-Boer-Lab/CisRegModels,https://github.com/de-Boer-Lab/CisRegModels,makeThermodynamicEnhancosomeModel.py,59,"os.environ['LD_LIBRARY_PATH'] = ""/usr/local/cuda/extras/CUPTI/lib64/:""+os.environ['LD_LIBRARY_PATH']",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
es6rc/VNwithSemanticMap,https://github.com/es6rc/VNwithSemanticMap,tf_code/nav_agent_release.py,30,os.environ['CUDA_VISIBLE_DEVICES'] = '0',Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
es6rc/VNwithSemanticMap,https://github.com/es6rc/VNwithSemanticMap,tf_code/nav_agent_release.py,31,"os.environ['LD_LIBRARY_PATH'] = ""/usr/local/cuda-9.0/lib64:/usr/local/cuda-9.0/include""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dingyiming0427/goalgail,https://github.com/dingyiming0427/goalgail,sandbox/experiments/goals/maze_lego/maze_lego_her_gail.py,5,"os.environ[""CUDA_VISIBLE_DEVICES""]=""""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
lahammond/RESPAN,https://github.com/lahammond/RESPAN,RESPAN/Scripts/RESPAN_GUI_DIST.py,172,"#os.environ['LD_LIBRARY_PATH'] = internal_path + os.pathsep + os.environ.get('LD_LIBRARY_PATH', '')",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
open-speech/tf_kaldi_io,https://github.com/open-speech/tf_kaldi_io,tf_kaldi_io/__init__.py,21,"for directory in os.environ.get(""LD_LIBRARY_PATH"", """").split("":""):",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
open-speech/tf_kaldi_io,https://github.com/open-speech/tf_kaldi_io,tf_kaldi_io/__init__.py,60,"old_ld_library_path = os.environ.get(""LD_LIBRARY_PATH"", """")",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
open-speech/tf_kaldi_io,https://github.com/open-speech/tf_kaldi_io,tf_kaldi_io/__init__.py,62,"os.environ[""LD_LIBRARY_PATH""] = lib_dir + "":"" + old_ld_library_path",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
gy20073/BDD_Driving_Model,https://github.com/gy20073/BDD_Driving_Model,train.py,631,"os.environ[""LD_LIBRARY_PATH""] = """"",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
