repo_full_name,repo_html_url,repo_description,stars,pushed_at,default_branch,file_path,file_html_url,smell_name,pattern,temp_var,temp_line,temp_code,del_line,del_code,second_line,second_code,reason
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,examples/speed_estimation/inference_example.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/examples/speed_estimation/inference_example.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),points,107,points = detections.get_anchors_coordinates(,99,for frame in frame_generator:,,,Model 'points' is created inside a loop at line 107 (loop starts at line 99) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,examples/speed_estimation/ultralytics_example.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/examples/speed_estimation/ultralytics_example.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),points,91,points = detections.get_anchors_coordinates(,85,for frame in frame_generator:,,,Model 'points' is created inside a loop at line 91 (loop starts at line 85) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,examples/speed_estimation/yolo_nas_example.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/examples/speed_estimation/yolo_nas_example.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),points,94,points = detections.get_anchors_coordinates(,86,for frame in frame_generator:,,,Model 'points' is created inside a loop at line 94 (loop starts at line 86) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,examples/traffic_analysis/inference_example.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/examples/traffic_analysis/inference_example.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),zone_center,144,zone_center = sv.get_polygon_center(polygon=zone_out.polygon),143,"for zone_out_id, zone_out in enumerate(self.zones_out):",,,Model 'zone_center' is created inside a loop at line 144 (loop starts at line 143) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,examples/traffic_analysis/ultralytics_example.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/examples/traffic_analysis/ultralytics_example.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),zone_center,141,zone_center = sv.get_polygon_center(polygon=zone_out.polygon),140,"for zone_out_id, zone_out in enumerate(self.zones_out):",,,Model 'zone_center' is created inside a loop at line 141 (loop starts at line 140) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/annotators/core.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/annotators/core.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),xy,2031,xy = self.trace.get(tracker_id=tracker_id),2018,for detection_idx in range(len(filtered_detections)):,,,Model 'xy' is created inside a loop at line 2031 (loop starts at line 2018) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/dataset/formats/coco.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/dataset/formats/coco.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),segmentation,77,"segmentation = image_annotation.get(""segmentation"")",76,for image_annotation in image_annotations:,,,Model 'segmentation' is created inside a loop at line 77 (loop starts at line 76) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/detection/tools/smoother.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/detection/tools/smoother.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),track,148,track = self.get_track(track_id),147,for track_id in self.tracks:,,,Model 'track' is created inside a loop at line 148 (loop starts at line 147) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/metrics/f1_score.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/metrics/f1_score.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),y_value,666,y_value = bar.get_height(),665,for bar in bars:,,,Model 'y_value' is created inside a loop at line 666 (loop starts at line 665) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/metrics/mean_average_precision.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/metrics/mean_average_precision.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),y_value,234,y_value = bar.get_height(),233,for bar in bars:,,,Model 'y_value' is created inside a loop at line 234 (loop starts at line 233) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/metrics/mean_average_recall.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/metrics/mean_average_recall.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),y_value,244,y_value = bar.get_height(),243,for bar in bars:,,,Model 'y_value' is created inside a loop at line 244 (loop starts at line 243) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/metrics/precision.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/metrics/precision.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),y_value,681,y_value = bar.get_height(),680,for bar in bars:,,,Model 'y_value' is created inside a loop at line 681 (loop starts at line 680) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/metrics/recall.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/metrics/recall.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),y_value,677,y_value = bar.get_height(),676,for bar in bars:,,,Model 'y_value' is created inside a loop at line 677 (loop starts at line 676) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,37579,2026-04-01T15:11:42Z,develop,src/supervision/utils/video.py,https://github.com/roboflow/supervision/blob/48035c14e2de8fc6f5f3d7a1bc633f50217eda09/src/supervision/utils/video.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),frame,301,frame = frame_write_queue.get(),300,while True:,,,Model 'frame' is created inside a loop at line 301 (loop starts at line 300) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
huggingface/datasets,https://github.com/huggingface/datasets,"🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools",21364,2026-04-02T15:30:51Z,main,src/datasets/builder.py,https://github.com/huggingface/datasets/blob/c7697cfd340944321fee27364030bbfef65893be/src/datasets/builder.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),size_checksum,1100,size_checksum = get_size_checksum_dict(resource_path),1099,"for resource_name, resource_path in resources_paths.items():",,,Model 'size_checksum' is created inside a loop at line 1100 (loop starts at line 1099) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
horovod/horovod,https://github.com/horovod/horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",14684,2025-12-01T23:39:32Z,master,examples/elastic/pytorch/pytorch_imagenet_resnet50_elastic.py,https://github.com/horovod/horovod/blob/26fe8813a25bbef5b2dd98676916f7b350050fb0/examples/elastic/pytorch/pytorch_imagenet_resnet50_elastic.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),output,103,output = model(data_batch),100,"for i in range(0, len(data), args.batch_size):",,,Model 'output' is created inside a loop at line 103 (loop starts at line 100) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
horovod/horovod,https://github.com/horovod/horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",14684,2025-12-01T23:39:32Z,master,examples/elastic/pytorch/pytorch_mnist_elastic.py,https://github.com/horovod/horovod/blob/26fe8813a25bbef5b2dd98676916f7b350050fb0/examples/elastic/pytorch/pytorch_mnist_elastic.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),output,162,output = model(data),159,"for data, target in test_loader:",,,Model 'output' is created inside a loop at line 162 (loop starts at line 159) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
horovod/horovod,https://github.com/horovod/horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",14684,2025-12-01T23:39:32Z,master,examples/mxnet/mxnet2_mnist.py,https://github.com/horovod/horovod/blob/26fe8813a25bbef5b2dd98676916f7b350050fb0/examples/mxnet/mxnet2_mnist.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),output,94,"output = model(data.astype(args.dtype, copy=False))",91,"for _, batch in enumerate(data_iter):",,,Model 'output' is created inside a loop at line 94 (loop starts at line 91) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
horovod/horovod,https://github.com/horovod/horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",14684,2025-12-01T23:39:32Z,master,examples/mxnet/mxnet_imagenet_resnet50.py,https://github.com/horovod/horovod/blob/26fe8813a25bbef5b2dd98676916f7b350050fb0/examples/mxnet/mxnet_imagenet_resnet50.py,Smell 1: Improper Model Reuse,D — model recreated in loop without clear_session(),output,302,"output = net(data.astype(args.dtype, copy=False))",300,"for _, batch in enumerate(val_data):",,,Model 'output' is created inside a loop at line 302 (loop starts at line 300) without calling clear_session() or reset_default_graph() — TensorFlow computation graphs and weights accumulate in memory across every iteration.
