variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on CIFAR-10 Baseline,1,13.0,2038.6832,12.507,8900.043,3377.8135,4416.5273,1134.2651,0.8149,0.8201,0.8149
ResNet-18 on CIFAR-10 Baseline,2,11.0,1745.5362,12.2333,7944.5391,1977.104,4636.293,1272.0073,0.7747,0.7938,0.7747
ResNet-18 on CIFAR-10 Baseline,3,11.0,1732.8773,12.2315,8165.1992,2128.1006,5017.3672,1409.9922,0.7955,0.8075,0.7955
ResNet-18 on CIFAR-10 Baseline,4,10.0,1590.55,11.9636,10430.0586,2247.1309,10448.4609,1548.3977,0.7709,0.7881,0.7709
ResNet-18 on CIFAR-10 Baseline,5,13.0,2043.3238,12.4094,11456.8477,2385.4214,5672.6562,1684.8408,0.8058,0.8113,0.8058
ResNet-18 on CIFAR-10 Baseline,6,11.0,1747.8531,11.9915,11418.1445,2522.1289,11425.9883,1822.9321,0.8047,0.8133,0.8047
ResNet-18 on CIFAR-10 Baseline,7,13.0,2056.0923,12.6341,11594.8594,2659.9771,6311.6289,1961.4565,0.8234,0.8306,0.8234
ResNet-18 on CIFAR-10 Baseline,8,8.0,1275.9886,12.1363,11454.9609,2797.5713,11480.1875,2096.3064,0.698,0.735,0.698
ResNet-18 on CIFAR-10 Baseline,9,14.0,2215.5026,12.7142,13263.9297,2931.353,6827.168,2234.3506,0.8082,0.822,0.8082
ResNet-18 on CIFAR-10 Baseline,10,13.0,2060.6369,12.0049,14384.0469,3082.6182,14394.4258,2375.1458,0.8141,0.8244,0.8141
ResNet-18 on CIFAR-10 Baseline,mean,11.7,1850.7044,12.282580000000001,10901.2629,2610.92189,8063.07031,1753.9694499999998,0.79102,0.80461,0.79102
