variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,1,10.0,1444.6911,10.4,1830.7383,897.959,1843.8828,419.6201,0.8801,0.8833,0.8801
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,2,8.0,1167.4474,10.4145,1933.8477,897.8965,1933.8906,419.2451,0.8928,0.8937,0.8928
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,3,8.0,1167.8814,10.4611,1942.9414,899.959,1942.9453,420.4326,0.8827,0.8839,0.8827
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,4,9.0,1316.7347,10.4448,1943.0117,899.2715,1943.0117,420.8076,0.8884,0.89,0.8884
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,5,9.0,1313.4779,10.4039,1943.082,898.834,1943.1094,420.5576,0.8875,0.8889,0.8875
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,6,9.0,1313.4893,10.5057,1943.1289,899.084,1943.1133,418.5576,0.8825,0.8901,0.8825
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,7,9.0,1315.9305,10.4488,1943.1406,899.1465,1943.125,419.9326,0.883,0.8868,0.883
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,8,10.0,1460.1235,10.4252,1943.168,897.709,1943.168,418.9326,0.8857,0.8882,0.8857
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,9,9.0,1315.4843,10.4642,1943.2188,898.584,1943.2188,420.3076,0.8866,0.8887,0.8866
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,10,10.0,1458.1504,10.3623,1943.2852,897.459,1943.2852,418.1201,0.8848,0.889,0.8848
ResNet-18 on CIFAR-10 Smell 3 Library Path Mismatch,mean,9.1,1327.34105,10.433050000000001,1930.9562599999997,898.59025,1932.2750099999998,419.65135,0.88541,0.88826,0.88541
