variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
Smell 1: ResNet-18 on CIFAR-10,1,12.0,1961.9986,12.7083,6740.1562,3393.5454,4485.0156,1142.6108,0.7956,0.8113,0.7956
Smell 1: ResNet-18 on CIFAR-10,2,10.0,1637.0868,12.5693,9315.3867,2112.082,5001.2852,1282.0664,0.7652,0.7865,0.7652
Smell 1: ResNet-18 on CIFAR-10,3,18.0,2930.0024,12.5075,11891.4531,2178.3557,11909.4922,1420.5474,0.8342,0.8348,0.8342
Smell 1: ResNet-18 on CIFAR-10,4,11.0,1800.179,12.9728,12101.8789,2261.8711,5420.4375,1558.3328,0.7673,0.7981,0.7673
Smell 1: ResNet-18 on CIFAR-10,5,10.0,1637.9967,12.6371,12235.1367,2434.8809,12254.8008,1733.7395,0.7768,0.7877,0.7768
Smell 1: ResNet-18 on CIFAR-10,6,10.0,1636.16,12.793,12160.4727,2537.3501,5884.9844,1827.6289,0.7495,0.7844,0.7495
Smell 1: ResNet-18 on CIFAR-10,7,11.0,1799.9005,12.9995,13127.2812,2708.5923,6238.9336,2009.6702,0.7791,0.79,0.7791
Smell 1: ResNet-18 on CIFAR-10,8,9.0,1476.0728,12.4944,11906.4062,2824.6514,11937.7539,2165.4519,0.7691,0.7818,0.7691
Smell 1: ResNet-18 on CIFAR-10,9,10.0,1637.8056,13.0767,13809.707,2997.1943,6828.3555,2299.9421,0.7814,0.8013,0.7814
Smell 1: ResNet-18 on CIFAR-10,10,13.0,2124.7687,12.8123,12893.5742,3101.7993,7012.3203,2398.7961,0.8137,0.8188,0.8137
Smell 1: ResNet-18 on CIFAR-10,mean,11.4,1864.19711,12.75709,11618.14529,2655.03225,7697.337900000001,1783.8786100000002,0.78319,0.79947,0.7831
