variant	run_id	train_time_sec	eval_time_sec	cpu_peak_train_mb	gpu_peak_train_mb	cpu_peak_eval_mb	gpu_peak_eval_mb	train_energy_kwh	train_co2_kg	eval_energy_kwh	eval_co2_kg	test_accuracy	test_precision	test_recall
baseline	1	299.8581	1.4114	786.41	4.46	0.09	NA	0.010475	0.004741	3.90E-05	1.80E-05	0.8491	0.8717	0.8324
baseline	2	216.9071	1.4068	183.45	3.96	0.11	NA	0.007589	0.003435	3.90E-05	1.80E-05	0.8382	0.8723	0.8105
baseline	3	256.7734	1.4285	192.33	4.68	0.1	NA	0.009018	0.004082	4.00E-05	1.80E-05	0.8395	0.8682	0.8184
baseline	4	200.561	1.4463	168.2	4.27	0.11	NA	0.007001	0.003169	4.10E-05	1.80E-05	0.826	0.8628	0.7996
baseline	5	191.018	1.4723	172.02	4.4	0.12	NA	0.006659	0.003014	4.10E-05	1.90E-05	0.8218	0.8663	0.788
baseline	6	170.9889	1.4952	140.79	4.37	0.11	NA	0.005943	0.00269	4.10E-05	1.90E-05	0.8259	0.8671	0.7964
baseline	7	180.5161	1.5018	167.42	5.2	-64.07	NA	0.006284	0.002844	4.10E-05	1.90E-05	0.8279	0.8632	0.7981
baseline	8	228.4557	1.4537	187.71	4.68	0.09	NA	0.007999	0.00362	4.00E-05	1.80E-05	0.8353	0.8684	0.8113
baseline	9	197.2704	1.441	160.61	4.11	0.1	NA	0.006882	0.003115	4.00E-05	1.80E-05	0.8309	0.8687	0.8027
baseline	10	302.6074	1.4332	154.81	4.8	0.11	NA	0.010666	0.004828	3.90E-05	1.80E-05	0.838	0.8629	0.8225
