variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy
baseline,1,24.8451,5.125,3022.53,3858.59,3139.23,3858.59,0.000475,0.000237,4e-05,2e-05,0.6777
baseline,2,24.8675,4.9343,3021.47,3858.59,3138.45,3858.59,0.000467,0.000233,3.6e-05,1.8e-05,0.6841
baseline,3,22.9934,5.3668,3032.45,3858.59,3149.51,3858.59,0.000437,0.000218,5e-05,2.5e-05,0.6684
baseline,4,26.3538,4.9716,3028.5,3858.59,3145.29,3858.59,0.0005,0.00025,4.1e-05,2e-05,0.6839
baseline,5,24.1855,4.729,3027.21,3858.59,3144.08,3858.59,0.00047,0.000235,3.3e-05,1.7e-05,0.6681
baseline,6,21.1106,4.7157,3028.02,3858.59,3145.37,3858.59,0.000411,0.000205,3.4e-05,1.7e-05,0.6802
baseline,7,21.7783,5.2751,3023.15,3858.59,3139.98,3858.59,0.000439,0.000219,5.1e-05,2.5e-05,0.6885
baseline,8,22.1006,4.9593,3028.93,3858.59,3145.71,3858.59,0.00044,0.00022,3.7e-05,1.8e-05,0.6748
baseline,9,24.6088,4.9156,3034.44,3858.59,3151.39,3858.59,0.000478,0.000238,4e-05,2e-05,0.6827
baseline,10,26.6604,5.3825,3024.44,3858.59,3141.25,3858.59,0.000505,0.000252,5.3e-05,2.6e-05,0.6663
smell3,1,20.8742,5.2895,3035.88,3858.59,3153.02,3858.59,0.000417,0.000208,4.2e-05,2.1e-05,0.6819
smell3,2,21.3369,5.1495,3025.64,3858.59,3142.57,3858.59,0.000414,0.000207,4.1e-05,2e-05,0.676
smell3,3,23.5625,4.8434,3023.61,3858.59,3140.81,3858.59,0.000473,0.000236,4.1e-05,2.1e-05,0.6788
smell3,4,26.067,4.6691,3020.72,3858.59,3137.95,3858.59,0.000497,0.000248,3.3e-05,1.7e-05,0.6767
smell3,5,26.9346,5.1635,3020.42,3858.59,3137.75,3858.59,0.000509,0.000254,4.6e-05,2.3e-05,0.6798
smell3,6,27.5184,5.2213,3025.88,3858.59,3142.87,3858.59,0.000523,0.000261,4.4e-05,2.2e-05,0.6773
smell3,7,21.3669,4.67,3020.98,3858.59,3138.05,3858.59,0.000414,0.000207,4.4e-05,2.2e-05,0.6823
smell3,8,27.8764,6.2025,3037.65,3858.59,3154.46,3858.59,0.000525,0.000262,5e-05,0.0,0.6788
smell3,9,27.7359,6.6291,3021.11,3858.59,3138.27,3858.59,0.000509,0.000254,4e-05,0.0,0.6834
smell3,10,24.0688,6.8558,3016.34,3858.59,3133.49,3858.59,0.000464,0.000231,4.6e-05,2.3e-05,0.678
