variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),1,10.0,2219.0588,27.4969,7451.8047,3804.1201,5299.9375,2618.5667,0.9205,0.923,0.9111
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),2,8.0,1772.368,26.7953,7866.8203,2204.4741,5551.3789,1640.5396,0.9221,0.9207,0.9105
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),3,10.0,2218.3151,26.4335,11481.6367,2358.5537,11485.7695,1795.0034,0.9337,0.936,0.9209
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),4,9.0,1987.6884,26.983,11444.7617,2502.5371,6266.2266,1934.7004,0.9229,0.9178,0.9137
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),5,12.0,2656.2671,26.5784,13927.8555,2670.7427,13945.7656,2117.5991,0.937,0.9392,0.9282
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),6,10.0,2222.552,27.1825,12553.457,2798.2202,6967.5742,2227.0999,0.9384,0.9308,0.9337
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),7,11.0,2400.9714,26.0896,10662.5625,2971.8145,7420.7773,2409.2361,0.9389,0.935,0.9325
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),8,10.0,2169.0436,25.6826,11830.7031,3078.5908,11848.8594,2508.4861,0.9383,0.9376,0.9294
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),9,11.0,2381.6361,25.9685,13852.1719,3251.3228,8131.4258,2771.5449,0.9257,0.9194,0.9192
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),10,11.0,2387.6286,26.0785,14363.2383,3365.5693,8388.7539,2794.0144,0.942,0.935,0.9372
ResNet-18 on SVHN Smell 1 (Improper Model Reuse),mean,10.2,2241.55291,26.528879999999997,11543.50117,2900.5945300000003,8530.64687,2281.67906,0.9319500000000002,0.9294500000000001,0.92364
