variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy,test_precision,test_recall
baseline_svhn,1,199.039,2.5873,321.53,16.0,0.09,NA,0.007006,0.002,7.5e-05,2.1e-05,0.9469,0.9627,0.9307
baseline_svhn,2,227.0821,2.7088,208.92,2.0,0.14,NA,0.008039,0.002295,7.8e-05,2.2e-05,0.9478,0.9617,0.9366
baseline_svhn,3,214.4839,2.7447,170.85,NA,0.14,NA,0.007583,0.002165,7.9e-05,2.3e-05,0.9485,0.9615,0.9362
baseline_svhn,4,291.4116,2.6224,183.28,2.0,0.17,NA,0.010346,0.002954,7.5e-05,2.1e-05,0.9481,0.9606,0.9385
baseline_svhn,5,213.5814,2.6413,156.38,NA,0.15,NA,0.007551,0.002156,7.7e-05,2.2e-05,0.9439,0.9608,0.9287
baseline_svhn,6,241.7227,2.5906,190.03,NA,0.15,NA,0.008564,0.002445,7.5e-05,2.1e-05,0.949,0.9624,0.9378
baseline_svhn,7,259.1855,2.628,146.92,2.0,0.16,NA,0.009188,0.002623,7.5e-05,2.2e-05,0.9439,0.9586,0.9345
baseline_svhn,8,212.982,2.6397,126.11,NA,-9.59,NA,0.007529,0.002149,7.5e-05,2.2e-05,0.9462,0.9623,0.9308
baseline_svhn,9,196.8968,2.6785,202.26,2.0,0.14,NA,0.006943,0.001982,7.7e-05,2.2e-05,0.9468,0.9644,0.931
baseline_svhn,10,199.6986,2.6909,173.14,NA,0.15,NA,0.007037,0.002009,7.7e-05,2.2e-05,0.944,0.9605,0.9316
