variant	run_id	train_time_sec	eval_time_sec	cpu_peak_train_mb	gpu_peak_train_mb	cpu_peak_eval_mb	gpu_peak_eval_mb	train_energy_kwh	train_co2_kg	eval_energy_kwh	eval_co2_kg	test_accuracy	test_precision	test_recall
baseline_svhn	1	194.6041	2.618	199.77	2	1.07	NA	0.006819	0.001947	7.50E-05	2.10E-05	0.9456	0.9608	0.9332
baseline_svhn	2	237.5545	2.6323	177.73	NA	0.14	NA	0.00837	0.00239	7.50E-05	2.10E-05	0.9504	0.964	0.9401
baseline_svhn	3	237.2439	2.6478	146.5	2	0.14	NA	0.008365	0.002388	7.50E-05	2.10E-05	0.9506	0.9642	0.9403
baseline_svhn	4	280.4402	2.6211	166.67	NA	0.15	NA	0.009913	0.00283	7.50E-05	2.10E-05	0.9503	0.9613	0.9413
baseline_svhn	5	253.4591	2.6525	138.67	NA	0.15	NA	0.008945	0.002554	7.50E-05	2.10E-05	0.9476	0.9616	0.9378
baseline_svhn	6	239.892	2.718	152.12	2	0.14	NA	0.008456	0.002414	7.70E-05	2.20E-05	0.9508	0.9642	0.9386
baseline_svhn	7	280.1472	2.638	142.21	NA	2.59	NA	0.009909	0.002829	7.60E-05	2.20E-05	0.952	0.9629	0.9438
baseline_svhn	8	208.3696	2.7085	150.95	2	0.14	NA	0.007323	0.002091	7.70E-05	2.20E-05	0.9458	0.9623	0.9326
baseline_svhn	9	223.5608	2.7815	157.04	NA	0.33	NA	0.007869	0.002247	7.90E-05	2.30E-05	0.9485	0.9607	0.9387
baseline_svhn	10	238.5944	2.7088	168.41	2	0.9	NA	0.008417	0.002403	7.70E-05	2.20E-05	0.948	0.9614	0.9368
