variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy,test_precision,test_recall
smell2_2048batchsize_svhn,1,266.455,0.7372,1590.45,11714.0,0.68,NA,0.009406,0.001305,2.5e-05,3e-06,0.9468,0.9605,0.9365
smell2_2048batchsize_svhn,2,259.5928,0.7175,348.77,2.0,-0.11,NA,0.00914,0.001268,2.5e-05,3e-06,0.9446,0.9573,0.9361
smell2_2048batchsize_svhn,3,276.1477,0.7384,76.82,NA,0.14,NA,0.009729,0.00135,2.5e-05,4e-06,0.9493,0.9607,0.9407
smell2_2048batchsize_svhn,4,267.6876,0.7327,363.45,2.0,0.27,NA,0.009426,0.001308,2.5e-05,3e-06,0.9478,0.9599,0.9381
smell2_2048batchsize_svhn,5,236.1193,0.7227,592.11,2.0,-2.33,NA,0.008296,0.001151,2.4e-05,3e-06,0.9455,0.9607,0.9359
smell2_2048batchsize_svhn,6,276.0438,0.7219,-42.15,NA,-15.91,NA,0.00973,0.00135,2.5e-05,3e-06,0.9501,0.9615,0.9414
smell2_2048batchsize_svhn,7,212.3916,0.73,457.48,2.0,45.52,NA,0.00744,0.001032,2.5e-05,3e-06,0.9451,0.9606,0.9342
smell2_2048batchsize_svhn,8,252.3067,0.7327,168.62,NA,-2.37,NA,0.008871,0.001231,2.5e-05,4e-06,0.9441,0.9574,0.935
smell2_2048batchsize_svhn,9,69.3592,0.6907,344.98,2.0,0.15,NA,0.002309,0.00032,2.4e-05,3e-06,0.1959,0.0,0.0
smell2_2048batchsize_svhn,10,244.0253,0.7278,755.01,NA,-3.05,NA,0.008568,0.001189,2.5e-05,3e-06,0.947,0.9597,0.9369
